agency_cd,site_no,datetime,tz_cd,"Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius","Dissolved oxygen, water, unfiltered, milligrams per liter","Temperature, water, degrees Celsius","Gage height, feet",,
USGS,2172050,1/1/21 13:30,EST,311,9.6,12.2,16.85,,
USGS,2172050,1/1/21 13:45,EST,274,9.6,12,16.65,,
USGS,2172050,1/1/21 14:00,EST,276,9.5,12,16.45,,
USGS,2172050,1/1/21 14:15,EST,267,9.5,12.1,16.26,,
USGS,2172050,1/1/21 14:30,EST,245,9.5,12,16.03,,
USGS,2172050,1/1/21 14:45,EST,243,9.5,12,15.85,,
USGS,2172050,1/1/21 15:00,EST,232,9.5,12,15.64,,
USGS,2172050,1/1/21 15:15,EST,229,9.5,12,15.42,,
USGS,2172050,1/1/21 15:30,EST,214,9.5,12,15.19,,
USGS,2172050,1/1/21 15:45,EST,227,9.5,12,14.98,,
USGS,2172050,1/1/21 16:00,EST,227,9.5,12,14.81,,
USGS,2172050,1/1/21 16:15,EST,203,9.5,12,14.54,,
USGS,2172050,1/1/21 16:30,EST,194,9.5,12,14.39,,
USGS,2172050,1/1/21 16:45,EST,199,9.5,12.2,14.19,,
USGS,2172050,1/1/21 17:00,EST,190,9.5,12.1,14.04,,
USGS,2172050,1/1/21 17:15,EST,161,9.6,12.1,13.98,,
USGS,2172050,1/1/21 17:30,EST,176,9.5,12.2,13.92,,
USGS,2172050,1/1/21 17:45,EST,140,9.6,12.2,14,,
USGS,2172050,1/1/21 18:00,EST,122,9.6,12.1,14.11,,
USGS,2172050,1/1/21 18:15,EST,128,9.6,12.2,14.28,,
USGS,2172050,1/1/21 18:30,EST,117,9.6,12.2,14.42,,
USGS,2172050,1/1/21 18:45,EST,112,9.6,12.2,14.68,,
USGS,2172050,1/1/21 19:00,EST,108,9.6,12.2,14.92,,
USGS,2172050,1/1/21 19:15,EST,108,9.6,12.2,15.21,,
USGS,2172050,1/1/21 19:30,EST,104,9.6,12.2,15.48,,
USGS,2172050,1/1/21 19:45,EST,98,9.6,12.2,15.74,,
USGS,2172050,1/1/21 20:00,EST,99,9.6,12.2,15.98,,
USGS,2172050,1/1/21 20:15,EST,102,9.5,12.3,16.17,,
USGS,2172050,1/1/21 20:30,EST,105,9.5,12.3,16.37,,
USGS,2172050,1/1/21 20:45,EST,106,9.5,12.2,16.51,,
USGS,2172050,1/1/21 21:00,EST,118,9.5,12.2,16.63,,
USGS,2172050,1/1/21 21:15,EST,133,9.5,12.2,16.74,,
USGS,2172050,1/1/21 21:30,EST,137,9.5,12.2,16.86,,
USGS,2172050,1/1/21 21:45,EST,148,9.5,12.2,16.98,,
USGS,2172050,1/1/21 22:00,EST,167,9.5,12.2,17.09,,
USGS,2172050,1/1/21 22:15,EST,174,9.5,12.2,17.17,,
USGS,2172050,1/1/21 22:30,EST,172,9.5,12.2,17.26,,
USGS,2172050,1/1/21 22:45,EST,191,9.5,12.2,17.33,,
USGS,2172050,1/1/21 23:00,EST,207,9.5,12.2,17.4,,
USGS,2172050,1/1/21 23:15,EST,236,9.5,12.2,17.47,,
USGS,2172050,1/1/21 23:30,EST,237,9.5,12.2,17.48,,
USGS,2172050,1/1/21 23:45,EST,243,9.5,12.2,17.46,,
USGS,2172050,1/2/21 0:00,EST,241,9.5,12.2,17.36,,
USGS,2172050,1/2/21 0:15,EST,243,9.5,12.2,17.26,,
USGS,2172050,1/2/21 0:30,EST,251,9.5,12.2,17.09,,
USGS,2172050,1/2/21 0:45,EST,257,9.4,12.2,16.89,,
USGS,2172050,1/2/21 1:00,EST,239,9.4,12.4,16.67,,
USGS,2172050,1/2/21 1:15,EST,241,9.4,12.4,16.48,,
USGS,2172050,1/2/21 1:30,EST,237,9.4,12.4,16.27,,
USGS,2172050,1/2/21 1:45,EST,240,9.4,12.3,16.07,,
USGS,2172050,1/2/21 2:00,EST,241,9.4,12.3,15.87,,
USGS,2172050,1/2/21 2:15,EST,218,9.4,12.3,15.64,,
USGS,2172050,1/2/21 2:30,EST,189,9.4,12.3,15.42,,
USGS,2172050,1/2/21 2:45,EST,180,9.3,12.4,15.23,,
USGS,2172050,1/2/21 3:00,EST,170,9.4,12.3,15.01,,
USGS,2172050,1/2/21 3:15,EST,142,9.4,12.4,14.8,,
USGS,2172050,1/2/21 3:30,EST,130,9.5,12.4,14.56,,
USGS,2172050,1/2/21 3:45,EST,129,9.4,12.4,14.37,,
USGS,2172050,1/2/21 4:00,EST,125,9.5,12.5,14.16,,
USGS,2172050,1/2/21 4:15,EST,113,9.5,12.4,13.97,,
USGS,2172050,1/2/21 4:30,EST,113,9.5,12.5,13.78,,
USGS,2172050,1/2/21 4:45,EST,106,9.5,12.5,13.62,,
USGS,2172050,1/2/21 5:00,EST,104,9.5,12.5,13.48,,
USGS,2172050,1/2/21 5:15,EST,102,9.6,12.5,13.39,,
USGS,2172050,1/2/21 5:30,EST,99,9.5,12.5,13.35,,
USGS,2172050,1/2/21 5:45,EST,99,9.6,12.5,13.37,,
USGS,2172050,1/2/21 6:00,EST,94,9.5,12.5,13.44,,
USGS,2172050,1/2/21 6:15,EST,92,9.6,12.5,13.57,,
USGS,2172050,1/2/21 6:30,EST,92,9.5,12.6,13.8,,
USGS,2172050,1/2/21 6:45,EST,91,9.5,12.5,14.05,,
USGS,2172050,1/2/21 7:00,EST,90,9.5,12.5,14.36,,
USGS,2172050,1/2/21 7:15,EST,89,9.4,12.5,14.66,,
USGS,2172050,1/2/21 7:30,EST,90,9.4,12.6,14.97,,
USGS,2172050,1/2/21 7:45,EST,90,9.4,12.6,15.25,,
USGS,2172050,1/2/21 8:00,EST,91,9.4,12.6,15.49,,
USGS,2172050,1/2/21 8:15,EST,91,9.5,12.6,15.72,,
USGS,2172050,1/2/21 8:30,EST,102,9.5,12.6,15.91,,
USGS,2172050,1/2/21 8:45,EST,106,9.5,12.6,16.11,,
USGS,2172050,1/2/21 9:00,EST,117,9.5,12.5,16.31,,
USGS,2172050,1/2/21 9:15,EST,121,9.5,12.5,16.5,,
USGS,2172050,1/2/21 9:30,EST,138,9.5,12.5,16.65,,
USGS,2172050,1/2/21 9:45,EST,167,9.5,12.5,16.78,,
USGS,2172050,1/2/21 10:00,EST,177,9.5,12.5,16.91,,
USGS,2172050,1/2/21 10:15,EST,177,9.5,12.5,17.02,,
USGS,2172050,1/2/21 10:30,EST,178,9.5,12.5,17.13,,
USGS,2172050,1/2/21 10:45,EST,180,9.5,12.6,17.23,,
USGS,2172050,1/2/21 11:00,EST,190,9.5,12.7,17.33,,
USGS,2172050,1/2/21 11:15,EST,198,9.5,12.7,17.41,,
USGS,2172050,1/2/21 11:30,EST,203,9.5,12.7,17.54,,
USGS,2172050,1/2/21 11:45,EST,215,9.5,12.7,17.67,,
USGS,2172050,1/2/21 12:00,EST,221,9.5,12.7,17.75,,
USGS,2172050,1/2/21 12:15,EST,226,9.5,12.7,17.81,,
USGS,2172050,1/2/21 12:30,EST,234,9.5,12.7,17.82,,
USGS,2172050,1/2/21 12:45,EST,236,9.5,12.7,17.78,,
USGS,2172050,1/2/21 13:00,EST,238,9.5,12.7,17.68,,
USGS,2172050,1/2/21 13:15,EST,245,9.5,12.7,17.52,,
USGS,2172050,1/2/21 13:30,EST,247,9.5,12.7,17.28,,
USGS,2172050,1/2/21 13:45,EST,251,9.5,12.8,17.01,,
USGS,2172050,1/2/21 14:00,EST,236,9.5,12.9,16.76,,
USGS,2172050,1/2/21 14:15,EST,239,9.4,12.9,16.56,,
USGS,2172050,1/2/21 14:30,EST,236,9.4,13,16.36,,
USGS,2172050,1/2/21 14:45,EST,230,9.4,12.9,16.16,,
USGS,2172050,1/2/21 15:00,EST,226,9.4,12.9,15.94,,
USGS,2172050,1/2/21 15:15,EST,201,9.4,12.8,15.68,,
USGS,2172050,1/2/21 15:30,EST,198,9.4,12.8,15.49,,
USGS,2172050,1/2/21 15:45,EST,196,9.4,12.8,15.23,,
USGS,2172050,1/2/21 16:00,EST,181,9.4,12.9,15.03,,
USGS,2172050,1/2/21 16:15,EST,168,9.4,12.8,14.76,,
USGS,2172050,1/2/21 16:30,EST,166,9.4,12.8,14.55,,
USGS,2172050,1/2/21 16:45,EST,161,9.4,12.9,14.3,,
USGS,2172050,1/2/21 17:00,EST,152,9.4,12.8,14.1,,
USGS,2172050,1/2/21 17:15,EST,150,9.3,13,13.9,,
USGS,2172050,1/2/21 17:30,EST,160,9.4,13,13.72,,
USGS,2172050,1/2/21 17:45,EST,153,9.4,12.9,13.55,,
USGS,2172050,1/2/21 18:00,EST,157,9.4,12.9,13.5,,
USGS,2172050,1/2/21 18:15,EST,124,9.4,12.9,13.39,,
USGS,2172050,1/2/21 18:30,EST,127,9.4,12.9,13.46,,
USGS,2172050,1/2/21 18:45,EST,124,9.4,12.9,13.55,,
USGS,2172050,1/2/21 19:00,EST,115,9.4,13,13.81,,
USGS,2172050,1/2/21 19:15,EST,108,9.4,13,14.11,,
USGS,2172050,1/2/21 19:30,EST,110,9.3,13,14.44,,
USGS,2172050,1/2/21 19:45,EST,111,9.3,13,14.78,,
USGS,2172050,1/2/21 20:00,EST,97,9.3,13,15.08,,
USGS,2172050,1/2/21 20:15,EST,96,9.2,13,15.37,,
USGS,2172050,1/2/21 20:30,EST,107,9.2,13.1,15.63,,
USGS,2172050,1/2/21 20:45,EST,103,9.2,13.1,15.88,,
USGS,2172050,1/2/21 21:00,EST,102,9.2,13.1,16.07,,
USGS,2172050,1/2/21 21:15,EST,104,9.2,13,16.25,,
USGS,2172050,1/2/21 21:30,EST,112,9.3,13,16.37,,
USGS,2172050,1/2/21 21:45,EST,123,9.3,13,16.51,,
USGS,2172050,1/2/21 22:00,EST,127,9.3,13,16.62,,
USGS,2172050,1/2/21 22:15,EST,138,9.3,13,16.73,,
USGS,2172050,1/2/21 22:30,EST,148,9.3,12.9,16.84,,
USGS,2172050,1/2/21 22:45,EST,161,9.3,12.9,16.95,,
USGS,2172050,1/2/21 23:00,EST,172,9.3,12.9,17.03,,
USGS,2172050,1/2/21 23:15,EST,184,9.3,13,17.12,,
USGS,2172050,1/2/21 23:30,EST,196,9.3,12.9,17.17,,
USGS,2172050,1/2/21 23:45,EST,204,9.4,12.9,17.21,,
USGS,2172050,1/3/21 0:00,EST,205,9.4,12.9,17.23,,
USGS,2172050,1/3/21 0:15,EST,205,9.4,12.9,17.21,,
USGS,2172050,1/3/21 0:30,EST,207,9.4,13,17.13,,
USGS,2172050,1/3/21 0:45,EST,205,9.4,12.9,17.03,,
USGS,2172050,1/3/21 1:00,EST,207,9.4,13,16.91,,
USGS,2172050,1/3/21 1:15,EST,205,9.4,13,16.79,,
USGS,2172050,1/3/21 1:30,EST,193,9.2,13,16.65,,
USGS,2172050,1/3/21 1:45,EST,200,9.3,13,16.47,,
USGS,2172050,1/3/21 2:00,EST,194,9.3,13,16.32,,
USGS,2172050,1/3/21 2:15,EST,195,9.3,13,16.18,,
USGS,2172050,1/3/21 2:30,EST,185,9.3,13.1,16.02,,
USGS,2172050,1/3/21 2:45,EST,181,9.3,13,15.83,,
USGS,2172050,1/3/21 3:00,EST,194,9.2,13.1,15.62,,
USGS,2172050,1/3/21 3:15,EST,175,9.3,13.1,15.4,,
USGS,2172050,1/3/21 3:30,EST,177,9.2,13.1,15.2,,
USGS,2172050,1/3/21 3:45,EST,167,9.2,13.1,15,,
USGS,2172050,1/3/21 4:00,EST,155,9.1,13.1,14.81,,
USGS,2172050,1/3/21 4:15,EST,126,9.2,13.1,14.62,,
USGS,2172050,1/3/21 4:30,EST,133,9.2,13.1,14.45,,
USGS,2172050,1/3/21 4:45,EST,126,9.2,13.1,14.23,,
USGS,2172050,1/3/21 5:00,EST,123,9.2,13.2,14.03,,
USGS,2172050,1/3/21 5:15,EST,111,9.2,13.2,13.9,,
USGS,2172050,1/3/21 5:30,EST,106,9.2,13.2,13.77,,
USGS,2172050,1/3/21 5:45,EST,105,9.2,13.2,13.61,,
USGS,2172050,1/3/21 6:00,EST,102,9.1,13.2,13.46,,
USGS,2172050,1/3/21 6:15,EST,99,9.2,13.2,13.37,,
USGS,2172050,1/3/21 6:30,EST,99,9.2,13.2,13.28,,
USGS,2172050,1/3/21 6:45,EST,95,9.2,13.2,13.35,,
USGS,2172050,1/3/21 7:00,EST,96,9.1,13.2,13.39,,
USGS,2172050,1/3/21 7:15,EST,93,9.2,13.2,13.55,,
USGS,2172050,1/3/21 7:30,EST,88,9.1,13.1,13.83,,
USGS,2172050,1/3/21 7:45,EST,88,9.2,13.1,14.16,,
USGS,2172050,1/3/21 8:00,EST,88,9.1,13.1,14.48,,
USGS,2172050,1/3/21 8:15,EST,87,9.1,13.1,14.79,,
USGS,2172050,1/3/21 8:30,EST,87,9,13.2,15.1,,
USGS,2172050,1/3/21 8:45,EST,89,9,13.2,15.36,,
USGS,2172050,1/3/21 9:00,EST,90,9.1,13.2,15.6,,
USGS,2172050,1/3/21 9:15,EST,95,9.1,13.2,15.84,,
USGS,2172050,1/3/21 9:30,EST,101,9.2,13.2,16.07,,
USGS,2172050,1/3/21 9:45,EST,102,9.2,13.2,16.23,,
USGS,2172050,1/3/21 10:00,EST,114,9.2,13.2,16.39,,
USGS,2172050,1/3/21 10:15,EST,132,9.2,13.2,16.53,,
USGS,2172050,1/3/21 10:30,EST,138,9.2,13.2,16.68,,
USGS,2172050,1/3/21 10:45,EST,155,9.3,13.2,16.82,,
USGS,2172050,1/3/21 11:00,EST,157,9.3,13.2,16.95,,
USGS,2172050,1/3/21 11:15,EST,155,9.3,13.2,17.07,,
USGS,2172050,1/3/21 11:30,EST,159,9.3,13.3,17.19,,
USGS,2172050,1/3/21 11:45,EST,162,9.3,13.3,17.28,,
USGS,2172050,1/3/21 12:00,EST,166,9.3,13.4,17.37,,
USGS,2172050,1/3/21 12:15,EST,170,9.3,13.4,17.44,,
USGS,2172050,1/3/21 12:30,EST,176,9.3,13.4,17.52,,
USGS,2172050,1/3/21 12:45,EST,181,9.3,13.4,17.6,,
USGS,2172050,1/3/21 13:00,EST,189,9.3,13.4,17.62,,
USGS,2172050,1/3/21 13:15,EST,190,9.3,13.4,17.64,,
USGS,2172050,1/3/21 13:30,EST,198,9.3,13.4,17.65,,
USGS,2172050,1/3/21 13:45,EST,203,9.3,13.4,17.59,,
USGS,2172050,1/3/21 14:00,EST,207,9.3,13.5,17.45,,
USGS,2172050,1/3/21 14:15,EST,216,9.3,13.5,17.23,,
USGS,2172050,1/3/21 14:30,EST,221,9.3,13.5,16.93,,
USGS,2172050,1/3/21 14:45,EST,207,9.3,13.8,16.62,,
USGS,2172050,1/3/21 15:00,EST,203,9.3,13.9,16.37,,
USGS,2172050,1/3/21 15:15,EST,202,9.3,13.9,16.17,,
USGS,2172050,1/3/21 15:30,EST,202,9.2,13.7,15.97,,
USGS,2172050,1/3/21 15:45,EST,199,9.3,13.6,15.77,,
USGS,2172050,1/3/21 16:00,EST,192,9.2,13.6,15.57,,
USGS,2172050,1/3/21 16:15,EST,186,9.3,13.6,15.31,,
USGS,2172050,1/3/21 16:30,EST,181,9.3,13.6,15.12,,
USGS,2172050,1/3/21 16:45,EST,180,9.2,13.6,14.95,,
USGS,2172050,1/3/21 17:00,EST,174,9.2,13.6,14.73,,
USGS,2172050,1/3/21 17:15,EST,166,9.3,13.5,14.53,,
USGS,2172050,1/3/21 17:30,EST,162,9.2,13.6,14.36,,
USGS,2172050,1/3/21 17:45,EST,161,9.2,13.6,14.12,,
USGS,2172050,1/3/21 18:00,EST,154,9.2,13.6,14.03,,
USGS,2172050,1/3/21 18:15,EST,151,9.2,13.6,13.88,,
USGS,2172050,1/3/21 18:30,EST,140,9.2,13.6,13.75,,
USGS,2172050,1/3/21 18:45,EST,138,9.2,13.6,13.72,,
USGS,2172050,1/3/21 19:00,EST,136,9.2,13.6,13.7,,
USGS,2172050,1/3/21 19:15,EST,133,9.2,13.6,13.77,,
USGS,2172050,1/3/21 19:30,EST,129,9.2,13.6,13.86,,
USGS,2172050,1/3/21 19:45,EST,119,9.3,13.6,14.01,,
USGS,2172050,1/3/21 20:00,EST,114,9.3,13.6,14.18,,
USGS,2172050,1/3/21 20:15,EST,111,9.3,13.6,14.38,,
USGS,2172050,1/3/21 20:30,EST,111,9.3,13.6,14.64,,
USGS,2172050,1/3/21 20:45,EST,106,9.3,13.6,14.93,,
USGS,2172050,1/3/21 21:00,EST,107,9.3,13.6,15.14,,
USGS,2172050,1/3/21 21:15,EST,102,9.3,13.6,15.37,,
USGS,2172050,1/3/21 21:30,EST,101,9.3,13.6,15.61,,
USGS,2172050,1/3/21 21:45,EST,101,9.3,13.6,15.84,,
USGS,2172050,1/3/21 22:00,EST,101,9.2,13.6,16.04,,
USGS,2172050,1/3/21 22:15,EST,104,9.2,13.6,16.2,,
USGS,2172050,1/3/21 22:30,EST,107,9.2,13.6,16.35,,
USGS,2172050,1/3/21 22:45,EST,112,9.2,13.6,16.48,,
USGS,2172050,1/3/21 23:00,EST,119,9.2,13.6,16.59,,
USGS,2172050,1/3/21 23:15,EST,126,9.2,13.6,16.7,,
USGS,2172050,1/3/21 23:30,EST,127,9.2,13.6,16.81,,
USGS,2172050,1/3/21 23:45,EST,137,9.2,13.6,16.9,,
USGS,2172050,1/4/21 0:00,EST,141,9.2,13.5,16.98,,
USGS,2172050,1/4/21 0:15,EST,176,9.2,13.5,17.06,,
USGS,2172050,1/4/21 0:30,EST,173,9.2,13.5,17.11,,
USGS,2172050,1/4/21 0:45,EST,175,9.2,13.5,17.14,,
USGS,2172050,1/4/21 1:00,EST,201,9.2,13.5,17.16,,
USGS,2172050,1/4/21 1:15,EST,211,9.2,13.5,17.15,,
USGS,2172050,1/4/21 1:30,EST,213,9.2,13.5,17.06,,
USGS,2172050,1/4/21 1:45,EST,213,9.2,13.5,16.95,,
USGS,2172050,1/4/21 2:00,EST,213,9.2,13.5,16.83,,
USGS,2172050,1/4/21 2:15,EST,219,9.2,13.5,16.7,,
USGS,2172050,1/4/21 2:30,EST,218,9.2,13.5,16.55,,
USGS,2172050,1/4/21 2:45,EST,203,9.2,13.4,16.4,,
USGS,2172050,1/4/21 3:00,EST,206,9.2,13.4,16.25,,
USGS,2172050,1/4/21 3:15,EST,191,9.2,13.3,16.11,,
USGS,2172050,1/4/21 3:30,EST,192,9.1,13.4,15.94,,
USGS,2172050,1/4/21 3:45,EST,185,9.1,13.4,15.76,,
USGS,2172050,1/4/21 4:00,EST,177,9.2,13.4,15.56,,
USGS,2172050,1/4/21 4:15,EST,161,9.1,13.4,15.34,,
USGS,2172050,1/4/21 4:30,EST,145,9.1,13.4,15.11,,
USGS,2172050,1/4/21 4:45,EST,142,9.2,13.4,14.9,,
USGS,2172050,1/4/21 5:00,EST,142,9.1,13.4,14.66,,
USGS,2172050,1/4/21 5:15,EST,138,9.1,13.4,14.46,,
USGS,2172050,1/4/21 5:30,EST,128,9.2,13.4,14.22,,
USGS,2172050,1/4/21 5:45,EST,122,9.2,13.4,14.01,,
USGS,2172050,1/4/21 6:00,EST,113,9.2,13.3,13.86,,
USGS,2172050,1/4/21 6:15,EST,111,9.1,13.3,13.64,,
USGS,2172050,1/4/21 6:30,EST,109,9.2,13.3,13.48,,
USGS,2172050,1/4/21 6:45,EST,109,9.1,13.3,13.35,,
USGS,2172050,1/4/21 7:00,EST,104,9.2,13.2,13.28,,
USGS,2172050,1/4/21 7:15,EST,99,9.3,13.2,13.27,,
USGS,2172050,1/4/21 7:30,EST,99,9.3,13.1,13.31,,
USGS,2172050,1/4/21 7:45,EST,95,9.2,13.1,13.45,,
USGS,2172050,1/4/21 8:00,EST,92,9.3,13,13.71,,
USGS,2172050,1/4/21 8:15,EST,91,9.3,12.9,14.03,,
USGS,2172050,1/4/21 8:30,EST,89,9.2,12.9,14.39,,
USGS,2172050,1/4/21 8:45,EST,90,9.1,12.9,14.8,,
USGS,2172050,1/4/21 9:00,EST,89,9.1,13,15.17,,
USGS,2172050,1/4/21 9:15,EST,90,9,13,15.5,,
USGS,2172050,1/4/21 9:30,EST,91,9.1,13,15.78,,
USGS,2172050,1/4/21 9:45,EST,92,9.1,13,16.03,,
USGS,2172050,1/4/21 10:00,EST,94,9.2,13.1,16.25,,
USGS,2172050,1/4/21 10:15,EST,101,9.2,13.2,16.45,,
USGS,2172050,1/4/21 10:30,EST,104,9.2,13.2,16.64,,
USGS,2172050,1/4/21 10:45,EST,117,9.2,13.3,16.81,,
USGS,2172050,1/4/21 11:00,EST,133,9.2,13.3,16.96,,
USGS,2172050,1/4/21 11:15,EST,147,9.2,13.4,17.1,,
USGS,2172050,1/4/21 11:30,EST,161,9.2,13.4,17.23,,
USGS,2172050,1/4/21 11:45,EST,160,9.2,13.4,17.35,,
USGS,2172050,1/4/21 12:00,EST,161,9.2,13.5,17.47,,
USGS,2172050,1/4/21 12:15,EST,161,9.2,13.5,17.59,,
USGS,2172050,1/4/21 12:30,EST,163,9.2,13.6,17.69,,
USGS,2172050,1/4/21 12:45,EST,167,9.2,13.6,17.76,,
USGS,2172050,1/4/21 13:00,EST,173,9.2,13.6,17.82,,
USGS,2172050,1/4/21 13:15,EST,175,9.2,13.7,17.89,,
USGS,2172050,1/4/21 13:30,EST,182,9.2,13.7,17.94,,
USGS,2172050,1/4/21 13:45,EST,188,9.2,13.7,17.98,,
USGS,2172050,1/4/21 14:00,EST,191,9.2,13.7,18.01,,
USGS,2172050,1/4/21 14:15,EST,197,9.2,13.7,18.02,,
USGS,2172050,1/4/21 14:30,EST,201,9.2,13.7,17.99,,
USGS,2172050,1/4/21 14:45,EST,217,9.2,13.7,17.91,,
USGS,2172050,1/4/21 15:00,EST,216,9.2,13.8,17.77,,
USGS,2172050,1/4/21 15:15,EST,223,9.2,13.8,17.56,,
USGS,2172050,1/4/21 15:30,EST,227,9.2,13.8,17.31,,
USGS,2172050,1/4/21 15:45,EST,219,9.2,13.8,17.06,,
USGS,2172050,1/4/21 16:00,EST,194,9.2,13.9,16.85,,
USGS,2172050,1/4/21 16:15,EST,209,9.2,13.9,16.68,,
USGS,2172050,1/4/21 16:30,EST,218,9.2,13.8,16.5,,
USGS,2172050,1/4/21 16:45,EST,215,9.1,13.8,16.3,,
USGS,2172050,1/4/21 17:00,EST,199,9.2,13.7,16.09,,
USGS,2172050,1/4/21 17:15,EST,195,9.2,13.7,15.88,,
USGS,2172050,1/4/21 17:30,EST,178,9.2,13.7,15.7,,
USGS,2172050,1/4/21 17:45,EST,174,9.2,13.7,15.52,,
USGS,2172050,1/4/21 18:00,EST,177,9.2,13.7,15.33,,
USGS,2172050,1/4/21 18:15,EST,171,9.2,13.6,15.13,,
USGS,2172050,1/4/21 18:30,EST,169,9.1,13.6,14.98,,
USGS,2172050,1/4/21 18:45,EST,149,9.2,13.5,14.81,,
USGS,2172050,1/4/21 19:00,EST,143,9.1,13.5,14.7,,
USGS,2172050,1/4/21 19:15,EST,143,9.2,13.5,14.61,,
USGS,2172050,1/4/21 19:30,EST,140,9.2,13.5,14.53,,
USGS,2172050,1/4/21 19:45,EST,134,9.2,13.4,14.54,,
USGS,2172050,1/4/21 20:00,EST,130,9.2,13.4,14.55,,
USGS,2172050,1/4/21 20:15,EST,129,9.2,13.4,14.62,,
USGS,2172050,1/4/21 20:30,EST,124,9.2,13.4,14.71,,
USGS,2172050,1/4/21 20:45,EST,131,9.2,13.3,14.87,,
USGS,2172050,1/4/21 21:00,EST,122,9.2,13.3,15.06,,
USGS,2172050,1/4/21 21:15,EST,108,9.3,13.2,15.3,,
